arm,prompt,generator_model,location,initial_pass_rate,final_pass_rate,final_pass_sd,schema_rate,coverage,prerequisite_precision,prerequisite_recall,unsupported_claim_rate,mean_revisions,estimated_usd,usd_per_passed_case,provider_requests,delta_vs_baseline,delta_ci_low,delta_ci_high,improves,worst_grade_slice,eligible,rejection_reasons
few-shot-flash,decomposition-few-shot,gemini-2.5-flash,us-central1,0.3416666666666667,0.43333333333333335,0.05773502691896256,1.0,0.7472222222222222,0.5513888888888889,0.5541666666666667,0.03152777777777778,1.875,4.24709187,0.08167484365384615,228,,,,,3:0.333,False,final pass rate below 0.80
anchored-flash,decomposition-anchored-few-shot,gemini-2.5-flash,us-central1,0.3,0.39166666666666666,0.03818813079129867,1.0,0.7222222222222222,0.5097222222222222,0.5166666666666667,0.043750000000000004,1.9916666666666667,4.33435922,0.0922204089361702,236,-0.041666666666666664,-0.15,0.06666666666666668,False,2:0.333,False,final pass rate below 0.80
checklist-flash,decomposition-checklist-structured,gemini-2.5-flash,us-central1,0.041666666666666664,0.2916666666666667,0.08779711460710615,1.0,0.6749999999999999,0.41096866096866097,0.4083333333333333,0.025,2.433333333333333,5.17447741,0.14784221171428572,240,-0.14166666666666666,-0.25833333333333336,-0.024999999999999994,False,6:0.208,False,final pass rate below 0.80
anchored-flash-lite,decomposition-anchored-few-shot,gemini-2.5-flash-lite,us-central1,0.0,0.0,0.0,0.0,,,,,3.0,0.0,,120,-0.4333333333333333,-0.5583333333333332,-0.3166666666666666,False,2:0.000,False,initial schema adherence below 0.95; final pass rate below 0.80; incomplete provider usage
anchored-g3-flash,decomposition-anchored-few-shot,gemini-3-flash-preview,global,0.2833333333333333,0.43333333333333335,0.02886751345948128,1.0,0.7416666666666667,0.5458333333333333,0.5458333333333333,0.036111111111111115,1.9583333333333333,4.59080975,0.08828480288461539,238,1.1102230246251566e-17,-0.12499999999999997,0.1168749999999989,False,6:0.250,False,final pass rate below 0.80
anchored-pro,decomposition-anchored-few-shot,gemini-2.5-pro,us-central1,0.26666666666666666,0.35,0.06614378277661476,1.0,0.6861111111111111,0.4652777777777778,0.4583333333333333,0.027083333333333338,2.091666666666667,8.068951125,0.19211788392857143,228,-0.08333333333333333,-0.20833333333333331,0.03354166666666554,False,6:0.208,False,final pass rate below 0.80
anchored-g31-pro,decomposition-anchored-few-shot,gemini-3.1-pro-preview,global,0.30833333333333335,0.35833333333333334,0.05204164998665333,1.0,0.6972222222222222,0.4708333333333333,0.4708333333333333,0.015972222222222224,2.0166666666666666,9.7998262,0.22790293488372093,240,-0.075,-0.2,0.03333333333333334,False,5:0.208,False,final pass rate below 0.80
